Preprocessing
kej 15-16 done
kej 15-16 done
kej 15-16 done
kej 15- 16 selesai 
kej 15-16 done
kej 15-16 done
kej 15-16 done
kej 13-16 done
kej 15-16 done
kej 13-16 done
kej 15-16 done
kej 15-16 done
kej 13-16 done
kej 15-16 selesai
kej 13 - 16 done
kej 13-16 selesai
kej 15 - 16 
kej 15 - 16 done
kej 15-16 selesai
kej 15-16 
kej 15-16 done
kej 15-16 selesai
kejadian 15-16 done
kejadian 13 - 14 selesai
kej 13-16 done
kej 13-14 done
kejadian 15 - 16 selesai
kej 15-16 done
kej 15-16 done
kej 15-16 done
kej 13-14 done
kej 15-16 done
kej 15-16 done
kej 15-16 done
kej 15-16 
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 17-18 selesai
kej 17-18 
kej 15-18 done
kej 13-18
kej 17-18 done
kej 17-18 done
kej 17-18 
kej 17-18 done
kej 17- 18 selesai 
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 15-16 done
kej 11-16 done
kej 19-20 selesai
kej 15-18 done
kej 17-18 done
kej 17 - 18 
kej 17-18 
kej 17-18 done
kej 17-18 selesai
kej 15-18 done
kej 17-18 done
kej 17-18 selesai
kej 17-18 done
kej 15-18 done
kej 17-18 done
kejadian 17-18 done
kej 17-18 done
kej 17 - 18 
kej 17-18 done
kej 15-18 selesai
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 17-18 done
kej 15-18 done
kej 19-20 done
kej 19-20 done
kej 19- 20 selesai
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 done
kej 16-20 done
kej 19-20 done
kej 19-20 done
kej 19-20 selesai
kej 19-20 done
kej 19-20 done
kej 19 - 20 
kej 19-20 selesai
kej 19-20 
kej 19-20 done
kej 19-20 
kejadian 19-20 done
kej 19-20 done
kej 17 - 20 done
kej 17 - 20 done
kej 19 - 20 
kej 19-20 done
kej 21-22 done
kej 21-22 selesai
kej 21-22 done
kej 21-22 done
kej 21-22 done
kej 21-22 done
kej 21-22 
kej 21-22 done
kej 21-22 done
kej 21-22 done
kej 19-22 done
kej 21-22 done
kejadian 17 - 18 selesai
kej 21-22 done
kej 21-22 done
kej 21-22 done
kej 21- 22 selesai
kej 21-22 done
kej 21-22 done
kej 21-22 done
kej 19-20 selesai
kej 21-22 selesai
kej 21 - 22 done
kej 21-22 done
kej 19-22 done
kej 19-22 done
kej 21-22 done
kej 21-22 done
kej 21-22 selesai
kej 21-22 
kej 21 - 22 
kej 17-20 done
kejadian 19-22 done
kej 21-22 
kej 20-22 done
kej 23-24 done
kej 19-24 done
kej 23-24 done
